Transaction,Processed,Post,Principal,Interest,Misc. Fee,Amount,Balance
Payment - Web,2021-12-08,2021-12-07,$392.5,$124.24,$0.0,$516.74,$21744.65
Misc. Transaction,2021-12-04,2021-12-01,$-413.21,$-103.53,$0.0,$-516.74,$22137.15
Payment - Web,2021-12-01,2021-12-01,$413.21,$103.53,$0.0,$516.74,$21723.94
Payment - Web,2021-11-01,2021-11-01,$418.29,$98.45,$0.0,$516.74,$22137.15
Misc. Transaction,2021-10-02,2021-10-04,$505.95,$10.79,$0.0,$516.74,$22555.44
Misc. Transaction,2021-10-02,2021-10-02,$0.0,$0.0,$95.0,$95.0,$22555.44
Payment - Web,2021-10-01,2021-10-01,$450.77,$65.97,$0.0,$516.74,$23061.39
Misc. Transaction,2021-09-29,2021-09-29,$0.0,$0.0,$-5.0,$-5.0,$23512.16
Misc. Transaction,2021-09-11,2021-09-13,$356.74,$160.0,$0.0,$516.74,$23512.16
Misc. Transaction,2021-09-04,2021-09-01,$-401.39,$-115.35,$0.0,$-516.74,$23868.9
Payment - Web,2021-09-01,2021-09-01,$401.39,$115.35,$0.0,$516.74,$23467.51
Misc. Transaction,2021-08-31,2021-08-31,$0.0,$0.0,$-5.0,$-5.0,$23868.9
Payment - Web,2021-08-01,2021-08-01,$399.46,$117.28,$0.0,$516.74,$23868.9
Misc. Transaction,2021-07-29,2021-07-29,$0.0,$0.0,$-5.0,$-5.0,$24268.36
Payment - Web,2021-07-01,2021-07-01,$401.37,$115.37,$0.0,$516.74,$24268.36
Misc. Transaction,2021-06-29,2021-06-29,$0.0,$0.0,$-5.0,$-5.0,$24669.73
Payment - Web,2021-06-01,2021-06-01,$395.6,$121.14,$0.0,$516.74,$24669.73
Misc. Transaction,2021-05-29,2021-05-29,$0.0,$0.0,$-5.0,$-5.0,$25065.33
Payment - Web,2021-05-01,2021-05-01,$397.66,$119.08,$0.0,$516.74,$25065.33
Misc. Transaction,2021-04-29,2021-04-29,$0.0,$0.0,$-5.0,$-5.0,$25462.99
Payment - Web,2021-04-01,2021-04-01,$391.8,$124.94,$0.0,$516.74,$25462.99
Misc. Transaction,2021-03-30,2021-03-30,$0.0,$0.0,$-5.0,$-5.0,$25854.79
Payment - Web,2021-03-01,2021-03-01,$402.13,$114.61,$0.0,$516.74,$25854.79
Payment - Web,2021-02-01,2021-02-01,$387.97,$128.77,$0.0,$516.74,$26256.92
Misc. Transaction,2021-01-29,2021-01-29,$0.0,$0.0,$-5.0,$-5.0,$26644.89
Payment - Web,2021-01-02,2021-01-01,$386.11,$130.63,$0.0,$516.74,$26644.89
Misc. Transaction,2020-12-29,2020-12-29,$0.0,$0.0,$-5.0,$-5.0,$27031.0
Payment - Web,2020-12-01,2020-12-01,$388.51,$128.23,$0.0,$516.74,$27031.0
Payment - Web,2020-11-01,2020-11-01,$382.38,$134.36,$0.0,$516.74,$27419.51
Misc. Transaction,2020-10-29,2020-10-29,$0.0,$0.0,$-5.0,$-5.0,$27801.89
Payment - Web,2020-10-01,2020-10-01,$384.92,$131.82,$0.0,$516.74,$27801.89
Misc. Transaction,2020-09-29,2020-09-29,$0.0,$0.0,$-5.0,$-5.0,$28186.81
Payment - Web,2020-09-01,2020-09-01,$378.7,$138.04,$0.0,$516.74,$28186.81
Misc. Transaction,2020-08-29,2020-08-29,$0.0,$0.0,$-5.0,$-5.0,$28565.51
Payment - Web,2020-08-01,2020-08-01,$376.87,$139.87,$0.0,$516.74,$28565.51
Misc. Transaction,2020-07-29,2020-07-29,$0.0,$0.0,$-5.0,$-5.0,$28942.38
Payment - Web,2020-07-01,2020-07-01,$379.61,$137.13,$0.0,$516.74,$28942.38
Misc. Transaction,2020-06-30,2020-06-30,$0.0,$0.0,$-5.0,$-5.0,$29321.99
Payment - Web,2020-06-01,2020-06-01,$373.23,$143.51,$0.0,$516.74,$29321.99
Misc. Transaction,2020-05-29,2020-05-29,$0.0,$0.0,$-5.0,$-5.0,$29695.22
Payment - Web,2020-05-01,2020-05-01,$376.11,$140.63,$0.0,$516.74,$29695.22
Misc. Transaction,2020-04-29,2020-04-29,$0.0,$0.0,$-5.0,$-5.0,$30071.33
Payment - Web,2020-04-01,2020-04-01,$369.63,$147.11,$0.0,$516.74,$30071.33
Misc. Transaction,2020-03-31,2020-03-31,$0.0,$0.0,$-5.0,$-5.0,$30440.96
Payment - Web,2020-03-01,2020-03-01,$377.41,$139.33,$0.0,$516.74,$30440.96
Payment - Web,2020-02-01,2020-02-01,$366.04,$150.7,$0.0,$516.74,$30818.37
Misc. Transaction,2020-01-29,2020-01-29,$0.0,$0.0,$-5.0,$-5.0,$31184.41
Payment - Web,2020-01-02,2020-01-01,$203.59,$313.15,$0.0,$516.74,$31184.41
Misc. Transaction,2019-12-31,2019-12-31,$0.0,$0.0,$-5.0,$-5.0,$31388.0
